method_clean,length_bin,n,f1_mean,f1_std,sensitivity_mean,ppv_mean
3R-Fold,<100,9,0.7523338902868305,0.19675506064375703,0.7657843605669693,0.7417232365058452
3R-Fold,100-299,16,0.6292527862580465,0.24141771780021165,0.6202429944322633,0.6411180003418296
3R-Fold,300-699,22,0.4947876168925094,0.23063449272769895,0.49879004521435105,0.49477511323858353
3R-Fold,700+,3,0.4649812891171498,0.07310262970037978,0.4792033709600001,0.4521269604513393
RNA-FM + DSR,<100,8,0.7769297300731701,0.2519974469608736,0.774702380952381,0.7892216479173001
RNA-FM + DSR,100-299,17,0.47608890456191566,0.30843812260210507,0.47817018742837275,0.4754491924276561
RNA-FM + DSR,300-699,19,0.33177199784631584,0.1997767185464857,0.33672009098472533,0.3291032400721312
RNA-FM + DSR,700+,6,0.38629354321880344,0.10976820315582665,0.40131021265638106,0.3727588788909049
RNA-FM + FAISS,<100,8,0.8370112525384243,0.17721007895588353,0.8116666666666666,0.8778533785055525
RNA-FM + FAISS,100-299,17,0.6099439292974236,0.33500648686266005,0.577096022207954,0.682377821796673
RNA-FM + FAISS,300-699,19,0.4397358109320445,0.2643125411639662,0.4258945985218555,0.4715289387395128
RNA-FM + FAISS,700+,6,0.5079072000247923,0.22975316315322036,0.5155140205092889,0.501712330363398
ViennaRNA,<100,9,0.7274704629777093,0.2066073392800408,0.7746941303463042,0.6884448168319136
ViennaRNA,100-299,16,0.5820987641382548,0.26945527749012915,0.5929984715177733,0.5726632831022602
ViennaRNA,300-699,22,0.4714226835027906,0.21768411203562568,0.502829909862223,0.4457688226461434
ViennaRNA,700+,3,0.48712238131456714,0.07868337804454109,0.5140329285172159,0.4634083526765993
