query_id,f1_baseline,family,length,f1_method,neighbor_families,gain
5S_rRNA-Bacteria-B00731,0.2162162162162162,5S_rRNA,120,0.8985507246376813,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,0.682334508421465
tRNA-tdbD00008863,0.2727272727272727,tRNA,77,0.923076923076923,tRNA|tRNA|tRNA|RfamFamily|tRNA|RfamFamily|tRNA|tRNA|RfamFamily|tRNA|tRNA|SRP|SRP|group_I_intron,0.6503496503496503
5S_rRNA-Bacteria-B07001,0.2461538461538461,5S_rRNA,113,0.847457627118644,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|SRP|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|SRP,0.6013037809647979
5S_rRNA-Bacteria-B00017,0.0952380952380952,5S_rRNA,118,0.576923076923077,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,0.48168498168498175
tRNA-tdbD00004321,0.5333333333333332,tRNA,73,0.975609756097561,tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA,0.44227642276422774
5S_rRNA-Bacteria-B05639,0.1999999999999999,5S_rRNA,115,0.6229508196721311,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|tmRNA|5S_rRNA|5S_rRNA|5S_rRNA,0.42295081967213116
RNaseP-a_bacterial-A.vinlandii-CA,0.5359477124183006,RNaseP,294,0.9324324324324323,RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP,0.3964847200141317
5S_rRNA-Bacteria-B01060,0.5714285714285715,5S_rRNA,116,0.8666666666666666,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|RNaseP|5S_rRNA|RNaseP|RNaseP|5S_rRNA,0.2952380952380951
5S_rRNA-Eukaryota-E01550,0.7272727272727273,5S_rRNA,122,0.9577464788732396,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|RfamFamily,0.2304737516005123
5S_rRNA-Eukaryota-E01535,0.7272727272727273,5S_rRNA,122,0.9577464788732396,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|RfamFamily|SRP|5S_rRNA,0.2304737516005123
tmRNA-Bloc.flor._BX248583_1-393,0.1651376146788991,tmRNA,393,0.2955665024630542,tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|tmRNA|RNaseP,0.13042888778415512
RNaseP-SM-A07,0.3333333333333333,RNaseP,294,0.4497041420118343,RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP,0.11637080867850097
group_I_intron-IC1-Cbr.S1506,0.5185185185185185,group_I_intron,375,0.6310679611650486,group_I_intron|group_I_intron|group_I_intron|SRP|tmRNA|group_I_intron|SRP|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron,0.1125494426465301
RNaseP-archaea-ERE,0.4539877300613497,RNaseP,307,0.5599999999999999,tmRNA|tmRNA|RNaseP|RNaseP|tmRNA|group_I_intron|RNaseP|RNaseP|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron,0.10601226993865026
group_I_intron-IE3-Nga.S1199-2,0.5384615384615384,group_I_intron,386,0.6306306306306306,RfamFamily|group_I_intron|group_I_intron|group_I_intron|group_I_intron|SRP|RfamFamily|group_I_intron|RfamFamily|group_I_intron|group_I_intron|RfamFamily|tmRNA|tmRNA,0.09216909216909219
tmRNA-Frem.dipl._AY082653,0.0497512437810945,tmRNA,389,0.1208791208791208,group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|RfamFamily|RNaseP|RNaseP|RNaseP|group_I_intron|tmRNA|RfamFamily|RNaseP|group_I_intron,0.07112787709802629
16S_rRNA-Aquifcae-DQ834093,0.366325369738339,16S_rRNA,1376,0.4222737819025521,16S_rRNA|16S_rRNA|16S_rRNA|tmRNA|tmRNA|16S_rRNA|RfamFamily|16S_rRNA|tmRNA|RNaseP|RNaseP|RNaseP|RfamFamily|tmRNA,0.05594841216421309
