query_id,family,length,method,f1,sensitivity,ppv
16S_rRNA-Alphaproteobacteria-AB242972,16S_rRNA,687,rnafm_dsr_guided_k5,0.5076142131979695,0.5405405405405406,0.4784688995215311
16S_rRNA-Bacilli-M54920,16S_rRNA,340,rnafm_dsr_guided_k5,0.4835164835164835,0.4835164835164835,0.4835164835164835
16S_rRNA-Bacilli-DQ643237,16S_rRNA,800,rnafm_dsr_guided_k5,0.26506024096385544,0.21568627450980393,0.34375
16S_rRNA-Bacilli-DQ118677,16S_rRNA,458,rnafm_dsr_guided_k5,0.578125,0.5692307692307692,0.5873015873015873
16S_rRNA-Bacilli-DQ170859,16S_rRNA,783,rnafm_dsr_guided_k5,0.5,0.5205479452054794,0.4810126582278481
16S_rRNA-Alphaproteobacteria-Y10169,16S_rRNA,1344,rnafm_dsr_guided_k5,0.4290998766954377,0.45194805194805193,0.4084507042253521
16S_rRNA-Alphaproteobacteria-D32244,16S_rRNA,1383,rnafm_dsr_guided_k5,0.4719626168224299,0.47754137115839246,0.4665127020785219
16S_rRNA-Alphaproteobacteria-U09573,16S_rRNA,244,rnafm_dsr_guided_k5,0.12987012987012989,0.06944444444444445,1.0
16S_rRNA-Bacilli-AY907698,16S_rRNA,1496,rnafm_dsr_guided_k5,0.5005561735261401,0.4945054945054945,0.5067567567567568
16S_rRNA-Bacilli-DQ643168,16S_rRNA,800,rnafm_dsr_guided_k5,0.484304932735426,0.5373134328358209,0.44081632653061226
16S_rRNA-Alphaproteobacteria-AB167234,16S_rRNA,1390,rnafm_dsr_guided_k5,0.4005235602094241,0.3704600484261501,0.4358974358974359
16S_rRNA-Alphaproteobacteria-AY785328,16S_rRNA,1401,rnafm_dsr_guided_k5,0.36040609137055835,0.33490566037735847,0.3901098901098901
16S_rRNA-Bacilli-DQ336215,16S_rRNA,800,rnafm_dsr_guided_k5,0.44097995545657015,0.4876847290640394,0.4024390243902439
16S_rRNA-Bacilli-DQ195822,16S_rRNA,676,rnafm_dsr_guided_k5,0.3606557377049181,0.36065573770491804,0.36065573770491804
16S_rRNA-Actinobacteria-X77959,16S_rRNA,1471,rnafm_dsr_guided_k5,0.261501210653753,0.24107142857142858,0.2857142857142857
16S_rRNA-Bacilli-DQ887519,16S_rRNA,1401,rnafm_dsr_guided_k5,0.5196662693682956,0.5491183879093199,0.49321266968325794
16S_rRNA-Bacilli-DQ169193,16S_rRNA,726,rnafm_dsr_guided_k5,0.4813895781637717,0.5132275132275133,0.4532710280373832
16S_rRNA-Actinobacteria-AB124191,16S_rRNA,563,rnafm_dsr_guided_k5,0.3815384615384615,0.43356643356643354,0.34065934065934067
16S_rRNA-Bacilli-AY807940,16S_rRNA,848,rnafm_dsr_guided_k5,0.5225933202357564,0.5277777777777778,0.5175097276264592
16S_rRNA-Actinobacteria-AY806702,16S_rRNA,787,rnafm_dsr_guided_k5,0.291005291005291,0.25821596244131456,0.3333333333333333
16S_rRNA-Actinobacteria-AB184247,16S_rRNA,1477,rnafm_dsr_guided_k5,0.3547334058759521,0.3622222222222222,0.34754797441364604
16S_rRNA-Mollicutes-L27049,16S_rRNA,699,rnafm_dsr_guided_k5,0.3753501400560224,0.4110429447852761,0.34536082474226804
16S_rRNA-Actinobacteria-M88466,16S_rRNA,1509,rnafm_dsr_guided_k5,0.36137071651090347,0.37259100642398285,0.35080645161290325
