query_id,family,length,method,f1,sensitivity,ppv,neighbor_families,avg_dsr_score
16S_rRNA-Actinobacteria-X53202,16S_rRNA,1356,rnafm_dsr_global_guided_k5,0.27959697732997485,0.28388746803069054,0.27543424317617865,RfamFamily|RfamFamily|group_I_intron|SRP|SRP,-0.00023054283519741148
16S_rRNA-Actinobacteria-AB184670,16S_rRNA,1455,rnafm_dsr_global_guided_k5,0.36123348017621143,0.3761467889908257,0.3474576271186441,RfamFamily|group_I_intron|group_I_intron|SRP|tRNA,-0.00023480764939449729
16S_rRNA-Bacilli-AY576706,16S_rRNA,538,rnafm_dsr_global_guided_k5,0.27659574468085113,0.26,0.29545454545454547,RfamFamily|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,-0.00023307255178224296
16S_rRNA-Bacilli-AJ315064,16S_rRNA,1310,rnafm_dsr_global_guided_k5,0.38735177865612647,0.3951612903225806,0.3798449612403101,5S_rRNA|5S_rRNA|RfamFamily|5S_rRNA|5S_rRNA,-0.00023663603351451457
16S_rRNA-Aquifcae-DQ834093,16S_rRNA,1376,rnafm_dsr_global_guided_k5,0.39035591274397247,0.40189125295508277,0.3794642857142857,RfamFamily|SRP|group_I_intron|group_I_intron|SRP,-0.00023549078905489297
16S_rRNA-Alphaproteobacteria-AF007254,16S_rRNA,400,rnafm_dsr_global_guided_k5,0.6445497630331755,0.6601941747572816,0.6296296296296297,group_I_intron|tmRNA|group_I_intron|16S_rRNA|tmRNA,-0.00023784411896485836
16S_rRNA-Actinobacteria-D45060,16S_rRNA,1486,rnafm_dsr_global_guided_k5,0.30899470899470904,0.3208791208791209,0.2979591836734694,group_I_intron|SRP|RfamFamily|group_I_intron|5S_rRNA,-0.0002304872788954526
16S_rRNA-Actinobacteria-DQ180958,16S_rRNA,1356,rnafm_dsr_global_guided_k5,0.31727379553466517,0.3268765133171913,0.3082191780821918,RfamFamily|group_I_intron|SRP|RfamFamily|SRP,-0.00023417254851665348
16S_rRNA-Actinobacteria-AY707843,16S_rRNA,547,rnafm_dsr_global_guided_k5,0.39160839160839156,0.43410852713178294,0.35668789808917195,RfamFamily|SRP|SRP|SRP|RfamFamily,-0.00023575628292746842
16S_rRNA-Actinobacteria-AB196711,16S_rRNA,1437,rnafm_dsr_global_guided_k5,0.24311926605504586,0.2398190045248869,0.24651162790697675,SRP|group_I_intron|5S_rRNA|5S_rRNA|5S_rRNA,-0.00023217375855892896
