query_id,family,length,method,retrieval_type,use_guidance,guidance_mode,use_dsr,k,neighbor_families,family_purity,top1_family_match,avg_similarity,sensitivity,ppv,f1,embed_query_time,retrieval_time,folding_time,total_time,failure_type
tRNA-tdbD00005436,tRNA,75,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA,1.0,1,0.5289446769180197,0.0,0.0,0.0,0.3833782120000251,0.0005751110002165,0.0,0.3839533230002416,hardest_cases
RfamFamily_URS0000D68DE1_12908/1-49,RfamFamily,49,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,RfamFamily|RfamFamily|RfamFamily|RfamFamily|RfamFamily|SRP|SRP|RfamFamily|RfamFamily|RfamFamily|RfamFamily|RfamFamily|RfamFamily|SRP,0.7857142857142857,1,0.3337257381443433,0.0,0.0,0.0,0.2539714350000395,0.0005043460000706,0.0,0.2544757810001101,hardest_cases
RfamFamily_URS0000D6C504_12908/1-170,RfamFamily,170,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron|group_I_intron,0.0,0,0.5969154187638896,0.0,0.0,0.0,1.1495128920000752,0.0006439099997805,0.0,1.1501568019998558,hardest_cases
SRP-long_bacterial-Clos.ther._CP000568,SRP,175,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,SRP|SRP|SRP|SRP|SRP|SRP|SRP|group_I_intron|group_I_intron|SRP|SRP|SRP|group_I_intron|group_I_intron,0.7142857142857143,1,0.3493413159101168,0.0,0.0,0.0,0.8250136650003697,0.0007616920001964,0.0,0.8257753570005661,hardest_cases
RfamFamily_AAIY01141103.1/124-267,RfamFamily,144,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,RfamFamily|RfamFamily|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|RNaseP|RfamFamily|RNaseP|RNaseP,0.2142857142857142,1,0.1147147345267578,0.0,0.0,0.0,0.6696802790002039,0.0005221979999987,0.0,0.6702024770002026,hardest_cases
RfamFamily_AAWZ02028783.1/6715-6851,RfamFamily,137,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,RfamFamily|RNaseP|RfamFamily|SRP|RNaseP|RfamFamily|SRP|SRP|RfamFamily|RfamFamily|RfamFamily|RfamFamily|SRP|RfamFamily,0.5714285714285714,1,0.1660853971326495,0.0,0.0,0.0,0.9459682789997714,0.0006011020000187,0.0,0.9465693809997902,hardest_cases
RfamFamily_CP000614.1/2842482-2842648,RfamFamily,167,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,tmRNA|tmRNA|SRP|SRP|RfamFamily|SRP|RfamFamily|RNaseP|group_I_intron|SRP|SRP|SRP|RfamFamily|group_I_intron,0.2142857142857142,0,0.264925786226922,0.0,0.0,0.0,1.01674341800026,0.0006108999996286,0.0,1.0173543179998887,hardest_cases
RNaseP-Onchorhynchus-2,RNaseP,308,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,SRP|SRP|RNaseP|RNaseP|RNaseP|RNaseP|SRP|RNaseP|SRP|RNaseP|RNaseP|RNaseP|group_I_intron|RNaseP,0.6428571428571429,0,0.5233359150353715,0.0612244897959183,0.034090909090909,0.0437956204379562,1.4591948529996444,0.0005067749998488,0.0,1.4597016279994932,hardest_cases
SRP-animal-Dros.mela._X00952,SRP,298,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP,1.0,1,1.111083208204945,0.0495049504950495,0.2631578947368421,0.0833333333333333,1.1152814269998998,0.0005650299999615,0.0,1.1158464569998614,hardest_cases
RNaseP-nuclear-X.laevis,RNaseP,318,rnafm_faiss_guided_k14,faiss,1,consensus,0,14,RNaseP|RNaseP|RNaseP|SRP|RNaseP|RNaseP|group_I_intron|RfamFamily|RNaseP|RNaseP|RNaseP|RNaseP|RNaseP|group_I_intron,0.7142857142857143,1,0.4088625644979103,0.125,0.072289156626506,0.0916030534351144,1.1155906639996829,0.0005065830000603,0.0,1.1160972469997432,hardest_cases
